date,regime_name,n_symbols,w_AAPL,w_AMZN,w_AVGO,w_GOOGL,w_GS,w_IWM,w_JPM,w_META,w_MSFT,w_NVDA,w_QQQ,w_SPY,w_TSLA,w_XOM,ret_AAPL,ret_AMZN,ret_AVGO,ret_GOOGL,ret_GS,ret_IWM,ret_JPM,ret_META,ret_MSFT,ret_NVDA,ret_QQQ,ret_SPY,ret_TSLA,ret_XOM
2024-08-30,sideways_quiet,14,0.7115636028218721,0.6050153712915881,0.41802690796853376,0.6772221705333917,0.7088785418129799,0.7228780145251008,0.8682665751317444,0.6489533588782808,0.7858762085127368,0.4065484229319646,0.7778501793875437,1.0173376821132385,0.33203725126894434,0.8917443511472875,-0.02758213529865879,-0.012685159527315687,-0.0635809555065383,-0.037542627840454874,-0.045692583429977514,-0.03105708669426637,-0.020220863933937384,-0.01848908549474558,-0.018631553610573785,-0.1000967089917078,-0.030831351447193893,-0.020793707331630266,-0.016529275820300126,-0.021165274737398508
2024-09-03,sideways_quiet,14,0.5433161195602945,0.5074442152137577,0.41802690796853376,0.5334252911231828,0.5076258448886636,0.5652002625066425,0.5143624868070635,0.49668241016345815,0.6558817334636878,0.2998862428085001,0.5902101135445911,0.8773742565289423,0.2924669352279324,0.6176788267968446,-0.008656102576570223,-0.016706139175178974,0.008667102453244056,-0.005799727350890408,0.006502472913526331,-0.0016887962007809234,-0.004412814339298977,0.001913090810419171,-0.0013197659303465139,-0.016712969410744568,-0.0026018796345454154,-0.0020489111776035253,0.040981513663141275,-0.012286162211554652
2024-09-04,sideways_quiet,14,0.5433161195602945,0.541995675606292,0.2918977296854993,0.5334252911231828,0.5076258448886636,0.5255478432053011,0.5415412637742855,0.49668241016345815,0.6558817334636878,0.33563556722829163,0.5902101135445911,0.8773742565289423,0.2924669352279324,0.7379684887126339,0.006903886553158933,0.025968075788917713,-0.008470681929553739,0.005036884879952415,-0.005641207190241083,-0.004989245132352867,-0.00778105775945677,0.008003141424681674,-0.0012479763826883327,0.009371261615102933,0.0009331595017891403,-0.002435173948982236,0.047876016035803666,-0.007833507525646398
2024-09-05,sideways_quiet,14,0.5433161195602945,0.541995675606292,0.33235520668166885,0.576919206250253,0.5076258448886636,0.5864133085366301,0.5415412637742855,0.49668241016345815,0.6312701221245446,0.33563556722829163,0.5902101135445911,0.9070147452761732,0.2924669352279324,0.7135417517699987,-0.00703972905290311,-0.03722372046282126,-0.10927988031839023,-0.041023452525069636,-0.017096240880745794,-0.019198831402842,-0.02404262860979358,-0.032624085745553304,-0.01651706430757424,-0.04171236228085935,-0.027152594093400147,-0.016973352148319156,-0.08824048544582774,-0.004694209807039259
2024-09-06,sideways_quiet,14,0.5433161195602945,0.4794459859455332,0.33235520668166885,0.576919206250253,0.5076258448886636,0.5864133085366301,0.5415412637742855,0.4493953359561902,0.6312701221245446,0.33563556722829163,0.5902101135445911,0.7851098746296508,0.2924669352279324,0.7135417517699987,0.00040747215220846114,0.023127387297091972,0.027501605274072093,-0.014751737115518497,0.018509528909073324,0.002785927377122432,0.02026761574993536,0.008994587418928317,0.009957697762864528,0.034786109744026995,0.012777650572263818,0.011134003557898288,0.025949973905266994,0.0208222126876636
2024-09-09,sideways_quiet,14,0.5433161195602945,0.5530475427443527,0.40221493310463535,0.576919206250253,0.5349730052392234,0.6596825939072931,0.6570703162585794,0.49582639216806007,0.6549472809087349,0.33563556722829163,0.6477345176956213,0.9373414246438903,0.2924669352279324,0.7135417517699987,-0.0036279711645236202,0.02338469252840609,0.051147701166316575,-0.0003363019166988143,-0.04487517003735476,-0.0008157498073889204,-0.05328343245524569,0.0,0.02068570891630083,0.015193443737978365,0.00919932067890348,0.0043462540822322504,0.044759273955983725,-0.03711183899338521
2024-09-10,sideways_quiet,14,0.6076018943271139,0.5530475427443527,0.3818154761599304,0.5530189305568893,0.4972114294685528,0.6596825939072931,0.5231102816992335,0.49582639216806007,0.6837444877905572,0.33563556722829163,0.67641937156098,0.9054374993200327,0.2924669352279324,0.6426365021688902,0.01151853658070104,0.02730414417528586,0.0656722300714396,0.01667705877672278,0.008611389602404191,0.002924051727955274,0.008091316685221733,0.013849994287383769,0.021117778989288665,0.07834772881317871,0.021482992247538184,0.010206676803407814,0.008628742512625562,-0.00997558349038332
2024-09-11,sideways_quiet,14,0.6076018943271139,0.5530475427443527,0.36021723626746316,0.5862486333296782,0.4972114294685528,0.6878765356853849,0.5538746390807714,0.49582639216806007,0.7143281466359471,0.33563556722829163,0.7215963692250784,0.9441781185020969,0.2924669352279324,0.6161303534113636,0.0004939075079283785,0.013350735010507195,0.03897276816878442,0.02308422732314935,0.006114899236064059,0.01279356592728689,-0.0030446807041881016,0.026547908300336213,0.009317255806507118,0.0188948277346609,0.009768204149792153,0.008388018582504528,0.007337206636805016,0.013668482589023695
2024-09-12,sideways_quiet,14,0.6418730186783357,0.5530475427443527,0.36021723626746316,0.5862486333296782,0.4972114294685528,0.7275783256053369,0.4778543683923501,0.5251424023793446,0.7143281466359471,0.33563556722829163,0.7215963692250784,1.0660397480892854,0.2924669352279324,0.6557525809344255,-0.0012127666492859454,-0.002730969055689944,0.018841820809325616,0.017748370363730677,0.010345809165614247,0.02436868408977909,-0.011097158097176464,-0.0018662390366102626,0.008372339517910114,-0.0003358035280550084,0.004469930531508648,0.0052091506870809165,0.0020864851607279924,-0.0007195056457362431
2024-09-13,sideways_quiet,14,0.6722160568864542,0.588076907958548,0.32304521959881516,0.6073882581128123,0.5254155426699058,0.6634034544697962,0.6362694733387025,0.5495583252642168,0.7143281466359471,0.33563556722829163,0.7929941133324427,1.109957308028251,0.2924669352279324,0.7173033238639411,-0.02816827489343649,-0.008616597457795744,-0.022128653661383814,0.003803191935879255,0.012799041010613568,0.003590827792214911,0.017177350965603144,0.016372487812663625,0.0017402809872244939,-0.019671651147132523,-0.004427690999240366,0.0014757829283282722,-0.0153589759450266,0.013937485992818128
